user_id,Name,Email,Age,Gender,Nationality,Time_of_Login,Keystrokes_Per_Second,Time_to_Complete_Captcha,Device,Latitude,Longitude,OS
1,John Doe,john.doe@email.com,25,Male,USA,05-01-2024 08:30,0.916666667,15,Desktop,37.7749,-122.4194,Windows 10
2,Jane Smith,jane.smith@email.com,40,Female,Canada,05-01-2024 09:15,0.75,20,Laptop,37.7751,-122.4192,macOS
3,Robert Johnson,robert.johnson@email.com,32,Male,UK,05-01-2024 10:00,1,18,Smartphone,37.775,-122.4193,Android
4,Emily Davis,emily.davis@email.com,28,Female,Australia,05-01-2024 10:45,0.833333333,22,Tablet,37.775,-122.4192,iOS
5,Michael Wilson,michael.wilson@email.com,55,Male,Germany,05-01-2024 11:30,0.666666667,25,Desktop,37.7752,-122.4195,Windows 7
6,Sarah Brown,sarah.brown@email.com,42,Female,France,05-01-2024 12:15,0.966666667,17,Laptop,37.7752,-122.4196,Ubuntu
7,Daniel Miller,daniel.miller@email.com,33,Male,Spain,05-01-2024 13:00,0.783333333,19,Smartphone,37.7751,-122.4194,iOS
8,Olivia Garcia,olivia.garcia@email.com,21,Female,Italy,05-01-2024 13:45,0.883333333,16,Desktop,37.7753,-122.4197,Windows 10
9,Matthew Taylor,matthew.taylor@email.com,49,Male,Japan,05-01-2024 14:30,0.7,21,Laptop,37.7754,-122.4198,macOS
10,Ava Martinez,ava.martinez@email.com,19,Female,South Korea,05-01-2024 15:15,0.866666667,14,Smartphone,37.7753,-122.4196,Android
11,Christopher Thomas,christopher.thomas@email.com,37,Male,Brazil,05-01-2024 16:00,0.8,23,Tablet,37.7754,-122.4197,Windows 10
12,Emma Hernandez,emma.hernandez@email.com,27,Female,Mexico,05-01-2024 16:45,0.933333333,18,Laptop,37.7753,-122.4198,Ubuntu
13,William Lee,william.lee@email.com,65,Male,India,05-01-2024 17:30,0.633333333,20,Desktop,37.7755,-122.4199,Windows 7
14,Sophia Kim,sophia.kim@email.com,23,Female,China,05-01-2024 18:15,0.9,16,Smartphone,37.7756,-122.42,Android
15,James Jackson,james.jackson@email.com,30,Male,Russia,05-01-2024 19:00,0.766666667,22,Tablet,37.7756,-122.4201,macOS
8,Olivia Garcia,olivia.garcia@email.com,21,Female,Italy,06-01-2024 08:30,0.833333333,18,Laptop,37.7755,-122.42,Windows 10
11,Christopher Thomas,christopher.thomas@email.com,37,Male,Brazil,06-01-2024 09:15,0.8,22,Smartphone,37.7756,-122.4202,Android
